owner/login,name,stargazers/totalCount,issues/totalCount,closedIssues/totalCount,openIssues/totalCount,questions/totalCount,answers/totalCount
VincentGarreau,particles.js,21631,331,71,260,0,0
alibaba,p3c,21622,590,545,45,0,0
sentsin,layui,21606,485,75,410,0,0
amix,vimrc,21557,404,404,0,0,0
Homebrew,brew,21531,2507,2495,12,0,0
rclone,rclone,21504,3227,2578,649,0,0
ajaxorg,ace,21493,2495,1835,660,1,11
naptha,tesseract.js,21466,358,341,17,0,0
emberjs,ember.js,21451,6250,6000,250,0,0
unknwon,the-way-to-go_ZH_CN,21413,0,0,0,0,0
Polymer,polymer,21404,3887,3638,249,0,0
balderdashy,sails,21333,6127,5770,357,0,0
alibaba,fastjson,21331,2627,1336,1291,0,0
hammerjs,hammer.js,21315,1005,753,252,0,0
ryanoasis,nerd-fonts,21287,345,224,121,0,0
VundleVim,Vundle.vim,21271,685,532,153,0,0
dcloudio,uni-app,21264,1535,1044,491,0,0
elsewhencode,project-guidelines,21241,36,24,12,0,0
tabler,tabler,21187,312,258,54,0,0
kelseyhightower,kubernetes-the-hard-way,21180,294,266,28,0,0
ycm-core,YouCompleteMe,21176,2850,2828,22,0,0
0xAX,linux-insides,21167,154,120,34,0,0
alibaba,druid,21163,2765,1071,1694,0,0
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,21145,210,82,128,0,0
laravel,framework,21106,13617,13614,3,0,1
facebookresearch,fastText,21094,861,568,293,0,0
terryum,awesome-deep-learning-papers,21072,23,11,12,0,0
alibaba,arthas,21054,880,760,120,0,0
StreisandEffect,streisand,21039,1095,922,173,0,0
drone,drone,21026,1708,1678,30,0,0
SheetJS,sheetjs,20988,1698,1360,338,0,0
alibaba,flutter-go,20957,325,173,152,0,0
agalwood,Motrix,20956,541,300,241,0,0
rstacruz,nprogress,20929,133,46,87,0,0
tootsuite,mastodon,20895,5447,3915,1532,0,0
eugenp,tutorials,20850,375,361,14,0,0
microsoft,PowerToys,20846,2084,1182,902,0,0
realpython,python-guide,20830,246,151,95,0,0
cmderdev,cmder,20823,1863,1854,9,0,0
pure-css,pure,20817,534,532,2,0,0
NationalSecurityAgency,ghidra,20796,1494,835,659,0,0
heartcombo,devise,20793,3938,3884,54,0,0
Automattic,mongoose,20773,7423,7105,318,0,0
airbnb,lottie-web,20741,2033,1573,460,0,0
fouber,blog,20725,40,29,11,0,2
t4t5,sweetalert,20720,657,535,122,0,0
ctripcorp,apollo,20697,2008,1839,169,0,0
ocornut,imgui,20684,2550,2142,408,0,0
scwang90,SmartRefreshLayout,20674,1129,1045,84,0,0
satwikkansal,wtfpython,20667,107,81,26,0,0
metabase,metabase,20660,7151,5098,2053,0,0
google,leveldb,20637,574,471,103,0,0
openai,gym,20630,1108,1012,96,0,0
facebook,flow,20604,6290,3875,2415,0,3
remy,nodemon,20552,1290,1279,11,0,0
akveo,ngx-admin,20491,1540,1257,283,0,0
rapid7,metasploit-framework,20475,3845,3160,685,0,0
niklasvh,html2canvas,20441,1887,1308,579,0,0
redux-saga,redux-saga,20359,1314,1161,153,0,0
gorhill,uBlock,20342,3449,3377,72,0,0
littlecodersh,ItChat,20338,800,592,208,0,0
pypa,pipenv,20282,3021,2640,381,0,0
fighting41love,funNLP,20267,26,25,1,0,0
sorrycc,awesome-javascript,20249,71,54,17,0,0
codemirror,CodeMirror,20224,3670,3324,346,0,0
Tencent,wepy,20218,2019,1713,306,0,0
FezVrasta,bootstrap-material-design,20142,1083,1028,55,0,0
ggreer,the_silver_searcher,20114,740,388,352,0,0
vim,vim,20108,3627,2696,931,0,0
kriasoft,react-starter-kit,20098,1147,708,439,0,0
cypress-io,cypress,20084,5424,4220,1204,0,0
SortableJS,Sortable,20076,1399,1169,230,0,0
microsoft,monaco-editor,20009,1789,1427,362,0,0
dimsemenov,PhotoSwipe,20005,1516,1016,500,0,0
JedWatson,react-select,19999,2676,1474,1202,0,0
syl20bnr,spacemacs,19989,7344,5005,2339,0,0
wagoodman,dive,19978,187,134,53,0,0
ovity,octotree,19972,573,513,60,0,0
CymChad,BaseRecyclerViewAdapterHelper,19950,2919,2771,148,0,0
koalaman,shellcheck,19938,1673,1121,552,0,0
aria2,aria2,19933,1343,648,695,0,0
mbeaudru,modern-js-cheatsheet,19885,42,36,6,0,0
facebookarchive,pop,19843,255,211,44,0,0
hashicorp,vagrant,19836,8410,8002,408,0,0
donnemartin,interactive-coding-challenges,19822,52,29,23,0,0
GoogleChrome,lighthouse,19793,6784,6365,419,0,0
google,iosched,19782,199,170,29,0,0
ReactiveCocoa,ReactiveCocoa,19782,1988,1945,43,0,0
angular,components,19779,10883,8756,2127,0,1
bevacqua,dragula,19763,467,289,178,0,0
microsoft,calculator,19757,576,435,141,0,0
Meituan-Dianping,mpvue,19746,1659,1256,403,0,0
kahun,awesome-sysadmin,19740,92,21,71,0,0
Reactive-Extensions,RxJS,19737,874,643,231,0,0
ageron,handson-ml,19735,483,388,95,0,0
go-gitea,gitea,19717,5399,4114,1285,0,0
sharkdp,bat,19691,560,534,26,1,14
BurntSushi,ripgrep,19679,1070,1026,44,0,0
LisaDziuba,Awesome-Design-Tools,19679,24,21,3,0,0
sindresorhus,awesome-electron,19650,44,35,9,0,0
Netflix,Hystrix,19637,997,671,326,0,0
railsware,upterm,19635,753,534,219,0,0
github,hub,19616,1696,1505,191,0,0
SwiftyJSON,SwiftyJSON,19570,646,558,88,0,0
docker,compose,19547,4890,4559,331,0,0
airbnb,lottie-ios,19533,810,677,133,0,0
FFmpeg,FFmpeg,19507,0,0,0,0,0
reduxjs,react-redux,19446,1042,1019,23,0,0
SwiftGGTeam,the-swift-programming-language-in-chinese,19372,321,320,1,0,0
byoungd,English-level-up-tips-for-Chinese,19354,54,43,11,0,0
florinpop17,app-ideas,19353,18,7,11,0,0
alebcay,awesome-shell,19345,37,16,21,0,0
hankcs,HanLP,19341,1370,1363,7,0,0
liyasthomas,postwoman,19320,304,291,13,0,0
MunGell,awesome-for-beginners,19319,57,57,0,0,0
mochajs,mocha,19308,2509,2252,257,0,0
obsproject,obs-studio,19303,472,355,117,0,0
guzzle,guzzle,19282,1586,1356,230,0,0
pyenv,pyenv,19277,1089,906,183,0,0
BradLarson,GPUImage,19256,2199,1300,899,0,0
usablica,intro.js,19252,585,370,215,0,0
atlassian,react-beautiful-dnd,19250,1041,845,196,0,0
powerline,fonts,19234,223,81,142,0,0
markerikson,react-redux-links,19223,32,21,11,0,0
pugjs,pug,19210,2418,2201,217,0,0
kon9chunkit,GitHub-Chinese-Top-Charts,19168,91,28,63,0,0
matteocrippa,awesome-swift,19167,110,110,0,0,0
PowerShell,PowerShell,19142,7455,5048,2407,1,14
dokku,dokku,19119,2008,1973,35,0,0
hashicorp,consul,19118,3737,3155,582,0,0
jgm,pandoc,19108,5012,4444,568,0,0
petkaantonov,bluebird,19097,1113,1057,56,0,0
tornadoweb,tornado,19080,1565,1400,165,0,0
julycoding,The-Art-Of-Programming-By-July,19067,127,82,45,0,0
ColorlibHQ,gentelella,19065,618,605,13,0,0
MrRio,jsPDF,19064,1694,1490,204,0,0
tipsy,profile-summary-for-github,19063,65,54,11,0,0
jobbole,awesome-python-cn,19051,14,12,2,0,0
nefe,You-Dont-Need-jQuery,19045,64,57,7,0,0
emscripten-core,emscripten,19041,5274,4640,634,0,0
typeorm,typeorm,19016,4739,3051,1688,0,0
dmlc,xgboost,19012,3416,3190,226,0,0
FallibleInc,security-guide-for-developers,19003,11,4,7,0,0
bvaughn,react-virtualized,18999,958,684,274,0,0
googlehosts,hosts,18998,378,334,44,0,0
paularmstrong,normalizr,18946,279,264,15,0,0
ReactiveX,RxAndroid,18938,336,336,0,0,0
typicode,husky,18905,498,369,129,0,0
junegunn,vim-plug,18904,746,706,40,0,0
ramda,ramda,18870,1439,1252,187,0,0
futurice,android-best-practices,18866,83,61,22,0,0
influxdata,influxdb,18854,9858,9074,784,0,0
formulahendry,955.WLB,18799,182,59,123,0,0
SamyPesse,How-to-Make-a-Computer-Operating-System,18762,63,25,38,0,0
mitmproxy,mitmproxy,18747,2203,1940,263,0,0
enzymejs,enzyme,18723,1623,1404,219,0,0
