apache,incubator-superset,28716,4460,4208,252
fastlane,fastlane,28705,10510,10359,151
foundation,foundation-sites,28617,7955,7697,258
Avik-Jain,100-Days-Of-ML-Code,28608,0,0,0
exacity,deeplearningbook-chinese,28552,175,130,45
zenorocha,clipboard.js,28537,523,513,10
caddyserver,caddy,28495,2140,2070,70
testerSunshine,12306,28421,624,455,169
huginn,huginn,28333,1683,1306,377
videojs,video.js,28290,3999,3771,228
kamranahmedse,design-patterns-for-humans,28157,49,42,7
DefinitelyTyped,DefinitelyTyped,27980,6524,3286,3238
Leaflet,Leaflet,27830,4281,3885,396
Homebrew,legacy-homebrew,27801,17038,17038,0
Solido,awesome-flutter,27762,0,0,0
shadowsocks,ShadowsocksX-NG,27732,1190,982,208
jashkenas,backbone,27641,2384,2329,55
lukehoban,es6features,27573,55,36,19
ariya,phantomjs,27565,4709,4679,30
photonstorm,phaser,27252,3260,3064,196
php,php-src,27222,0,0,0
isocpp,CppCoreGuidelines,27196,799,637,162
jondot,awesome-react-native,27147,52,33,19
dypsilon,frontend-dev-bookmarks,27125,93,77,16
iamkun,dayjs,27114,399,337,62
nuxt,nuxt.js,27086,5117,4830,287
joshbuchea,HEAD,27078,82,71,11
JuliaLang,julia,27064,17734,14836,2898
Blankj,AndroidUtilCode,27013,1066,1054,12
tldr-pages,tldr,26945,514,445,69
nestjs,nest,26841,2578,2507,71
0voice,interview_internal_reference,26761,36,18,18
huggingface,transformers,26691,2936,2490,446
certbot,certbot,26684,4376,3865,511
codepath,android_guides,26677,362,211,151
RocketChat,Rocket.Chat,26644,10701,8493,2208
tastejs,todomvc,26563,734,618,116
caolan,async,26526,1049,1045,4
bilibili,ijkplayer,26438,4831,2413,2418
quilljs,quill,26437,2587,1807,780
xitu,gold-miner,26235,4380,4339,41
preactjs,preact,26214,1182,1083,99
open-guides,og-aws,26164,199,79,120
floodsung,Deep-Learning-Papers-Reading-Roadmap,26161,41,3,38
grpc,grpc,26090,8510,8135,375
apache,spark,26048,0,0,0
bayandin,awesome-awesomeness,26039,55,49,6
alex,what-happens-when,26037,100,19,81
ethereum,go-ethereum,25913,4841,4583,258
binhnguyennus,awesome-scalability,25909,0,0,0
Kong,kong,25714,2948,2626,322
proxyee-down-org,proxyee-down,25618,0,0,0
kenwheeler,slick,25518,3309,2320,989
fffaraz,awesome-cpp,25481,450,149,301
react-boilerplate,react-boilerplate,25433,1787,1762,25
vuetifyjs,vuetify,25374,8388,7318,1070
jashkenas,underscore,25325,1357,1324,33
zxing,zxing,25305,996,988,8
JakeWharton,butterknife,25273,1122,1029,93
NervJS,taro,25265,5201,4329,872
vuejs,vue-cli,25263,4235,3763,472
shengxinjing,programmer-job-blacklist,25047,290,169,121
ant-design,ant-design-pro,24978,5397,5309,88
aosabook,500lines,24958,61,36,25
pandas-dev,pandas,24903,17940,14586,3354
getsentry,sentry,24856,4033,3106,927
apachecn,AiLearning,24853,88,55,33
strapi,strapi,24733,3468,3235,233
faif,python-patterns,24705,61,52,9
square,leakcanary,24696,1131,1094,37
akullpp,awesome-java,24636,96,95,1
crossoverJie,JCSprout,24620,87,59,28
danielmiessler,SecLists,24605,106,98,8
request,request,24556,2145,2006,139
Tencent,weui,24540,608,583,25
nylas,nylas-mail,24528,3421,2416,1005
wg,wrk,24525,310,222,88
dylanaraps,pure-bash-bible,24483,47,23,24
localstack,localstack,24461,1518,1281,237
select2,select2,24429,4461,4420,41
Modernizr,Modernizr,24354,1417,1261,156
google,styleguide,24338,226,77,149
johnpapa,angular-styleguide,24197,423,361,62
madewithml,lessons,24146,18,18,0
yangshun,front-end-interview-handbook,24122,0,0,0
carbon-app,carbon,24121,428,408,20
FiloSottile,mkcert,24071,170,133,37
TheAlgorithms,Java,24006,176,135,41
houshanren,hangzhou_house_knowledge,23943,0,0,0
nvie,gitflow,23912,335,114,221
fzaninotto,Faker,23897,542,486,56
astaxie,beego,23884,2702,1909,793
ngosang,trackerslist,23852,214,211,3
iina,iina,23748,2325,1458,867
vuejs,vuex,23743,991,959,32
standard,standard,23718,1075,966,109
ZuzooVn,machine-learning-for-software-engineers,23715,15,3,12
Alvin9999,new-pac,23683,877,690,187
iikira,BaiduPCS-Go,23656,925,793,132
nolimits4web,swiper,23624,3170,2996,174
ziadoz,awesome-php,23583,107,106,1
rethinkdb,rethinkdb,23582,6251,4854,1397
github,fetch,23563,498,488,10
Marak,faker.js,23547,428,241,187
pingcap,tidb,23513,4527,3088,1439
netty,netty,23508,5067,4691,376
jakevdp,PythonDataScienceHandbook,23476,114,46,68
herrbischoff,awesome-macos-command-line,23391,0,0,0
dkhamsing,open-source-ios-apps,23353,203,202,1
angular,angular-cli,23337,11707,11070,637
mathiasbynens,dotfiles,23273,354,228,126
jiahaog,nativefier,23245,784,610,174
iview,iview,23243,5425,4432,993
facebookresearch,Detectron,23233,883,603,280
symfony,symfony,23229,14009,13252,757
composer,composer,23028,5946,5590,356
freeCodeCamp,devdocs,23009,818,719,99
google-research,bert,22964,925,297,628
CodeHubApp,CodeHub,22887,606,392,214
tailwindcss,tailwindcss,22882,831,733,98
fxsjy,jieba,22872,691,186,505
raywenderlich,swift-algorithm-club,22858,184,174,10
istio,istio,22774,9670,8633,1037
danielgindi,Charts,22746,3626,3128,498
IanLunn,Hover,22742,96,79,17
lerna,lerna,22686,1777,1396,381
SDWebImage,SDWebImage,22661,1896,1874,22
postcss,postcss,22605,645,627,18
transloadit,uppy,22587,1110,1017,93
pi-hole,pi-hole,22581,1804,1682,122
serhii-londar,open-source-mac-os-apps,22550,127,113,14
brillout,awesome-react-components,22530,36,36,0
alacritty,alacritty,22519,2508,2148,360
greenrobot,EventBus,22474,520,432,88
GitbookIO,gitbook,22408,0,0,0
markedjs,marked,22349,986,907,79
lib-pku,libpku,22343,32,30,2
date-fns,date-fns,22302,909,755,154
gitlabhq,gitlabhq,22233,0,0,0
harvesthq,chosen,22187,2325,2105,220
skylot,jadx,22157,679,561,118
ityouknow,spring-boot-examples,22104,96,94,2
CSSEGISandData,COVID-19,22088,2075,768,1307
jaredpalmer,formik,22033,1604,1087,517
3b1b,manim,21962,590,388,202
hashicorp,terraform,21938,14672,13377,1295
cheeriojs,cheerio,21908,937,721,216
sequelize,sequelize,21880,8571,7772,799
ReactiveX,rxjs,21879,2558,2236,322
webtorrent,webtorrent,21841,1315,1164,151
mobxjs,mobx,21822,1506,1490,16
minio,minio,21806,4058,3968,90
geekcompany,ResumeSample,21678,0,0,0
VincentGarreau,particles.js,21631,331,71,260
alibaba,p3c,21622,590,545,45
sentsin,layui,21606,485,75,410
amix,vimrc,21557,404,404,0
Homebrew,brew,21531,2507,2495,12
rclone,rclone,21504,3227,2578,649
ajaxorg,ace,21493,2495,1835,660
naptha,tesseract.js,21466,358,341,17
emberjs,ember.js,21451,6250,6000,250
unknwon,the-way-to-go_ZH_CN,21413,0,0,0
Polymer,polymer,21404,3887,3638,249
balderdashy,sails,21333,6127,5770,357
alibaba,fastjson,21331,2627,1336,1291
hammerjs,hammer.js,21315,1005,753,252
ryanoasis,nerd-fonts,21287,345,224,121
VundleVim,Vundle.vim,21271,685,532,153
dcloudio,uni-app,21264,1535,1044,491
elsewhencode,project-guidelines,21241,36,24,12
tabler,tabler,21187,312,258,54
kelseyhightower,kubernetes-the-hard-way,21180,294,266,28
ycm-core,YouCompleteMe,21176,2850,2828,22
0xAX,linux-insides,21167,154,120,34
alibaba,druid,21163,2765,1071,1694
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,21145,210,82,128
laravel,framework,21106,13617,13614,3
facebookresearch,fastText,21094,861,568,293
terryum,awesome-deep-learning-papers,21072,23,11,12
alibaba,arthas,21054,880,760,120
StreisandEffect,streisand,21039,1095,922,173
drone,drone,21026,1708,1678,30
SheetJS,sheetjs,20988,1698,1360,338
alibaba,flutter-go,20957,325,173,152
agalwood,Motrix,20956,541,300,241
rstacruz,nprogress,20929,133,46,87
tootsuite,mastodon,20895,5447,3915,1532
eugenp,tutorials,20850,375,361,14
microsoft,PowerToys,20846,2084,1182,902
realpython,python-guide,20830,246,151,95
cmderdev,cmder,20823,1863,1854,9
pure-css,pure,20817,534,532,2
NationalSecurityAgency,ghidra,20796,1494,835,659
heartcombo,devise,20793,3938,3884,54
Automattic,mongoose,20773,7423,7105,318
airbnb,lottie-web,20741,2033,1573,460
fouber,blog,20725,40,29,11
t4t5,sweetalert,20720,657,535,122
ctripcorp,apollo,20697,2008,1839,169
ocornut,imgui,20684,2550,2142,408
scwang90,SmartRefreshLayout,20674,1129,1045,84
satwikkansal,wtfpython,20667,107,81,26
